angka,jumlah,persen,harapan,z
0,538,2.6427,550.22,-0.5208
1,536,2.6329,550.22,-0.6061
2,536,2.6329,550.22,-0.6061
3,562,2.7606,550.22,0.5024
4,528,2.5936,550.22,-0.9471
5,564,2.7704,550.22,0.5876
6,518,2.5445,550.22,-1.3734
7,578,2.8392,550.22,1.1845
8,515,2.5297,550.22,-1.5013
9,565,2.7753,550.22,0.6303
10,580,2.8490,550.22,1.2697
11,533,2.6181,550.22,-0.7340
12,524,2.5739,550.22,-1.1176
13,576,2.8294,550.22,1.0992
14,566,2.7802,550.22,0.6729
15,542,2.6623,550.22,-0.3503
16,558,2.7409,550.22,0.3318
17,515,2.5297,550.22,-1.5013
18,543,2.6673,550.22,-0.3076
19,572,2.8097,550.22,0.9287
20,607,2.9816,550.22,2.4208
21,594,2.9178,550.22,1.8666
22,522,2.5641,550.22,-1.2029
23,563,2.7655,550.22,0.5450
24,505,2.4806,550.22,-1.9276
25,511,2.5101,550.22,-1.6719
26,539,2.6476,550.22,-0.4782
27,559,2.7458,550.22,0.3745
28,585,2.8736,550.22,1.4829
29,529,2.5985,550.22,-0.9045
30,559,2.7458,550.22,0.3745
31,546,2.6820,550.22,-0.1797
32,587,2.8834,550.22,1.5682
33,545,2.6771,550.22,-0.2224
34,547,2.6869,550.22,-0.1371
35,586,2.8785,550.22,1.5255
36,525,2.5788,550.22,-1.0750
