dari,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,13,12,14,13,16,21,17,12,13,10,13,16,15,22,18,15,18,16,19,16,12,13,16,8,8,10,11,13,26,5,12,16,17,19,10,20,13
1,19,15,16,24,8,14,11,15,11,14,10,12,14,15,9,11,17,16,9,15,16,14,14,15,17,10,22,17,13,16,14,14,21,13,14,14,17
2,14,13,8,12,6,12,11,16,15,15,15,10,9,10,20,22,14,10,16,17,16,19,11,19,17,21,20,24,12,19,10,14,16,13,20,11,9
3,14,16,14,17,14,23,14,15,15,14,16,11,14,13,14,11,18,10,17,18,13,23,10,15,17,11,22,20,22,15,14,21,15,13,8,14,11
4,15,11,10,14,8,10,17,19,11,19,16,18,10,9,18,12,18,12,11,13,21,18,10,17,13,12,15,16,20,9,15,11,11,17,15,15,22
5,13,10,16,13,22,11,16,16,13,15,17,11,17,18,16,17,18,22,17,18,21,16,12,12,13,17,14,9,14,14,18,11,24,9,10,15,19
6,8,13,13,15,20,15,15,14,12,19,15,11,21,14,16,10,20,18,12,15,9,20,18,11,5,11,7,18,12,10,13,14,12,13,24,12,13
7,20,5,18,14,10,17,10,13,16,19,18,10,16,14,12,13,15,12,12,26,21,23,19,16,9,13,15,16,22,17,16,15,19,17,10,24,16
8,13,13,10,15,10,16,13,13,12,13,13,19,6,12,15,15,12,8,16,17,15,13,14,17,10,13,20,14,12,20,18,10,18,13,17,19,11
9,16,12,16,10,17,19,19,18,17,7,16,23,10,18,16,20,13,12,13,12,23,20,19,20,13,11,21,13,12,15,14,11,18,13,11,16,11
10,18,19,13,20,13,13,7,23,21,21,11,15,15,11,19,13,16,12,10,16,19,17,10,15,9,13,19,14,16,17,15,14,17,19,21,16,23
11,16,13,17,12,11,18,14,16,15,13,23,10,13,17,12,14,16,10,14,10,14,21,16,10,11,20,11,15,17,7,19,12,17,10,12,19,18
12,18,16,11,14,13,12,16,13,11,19,12,19,11,10,14,6,20,21,12,13,21,12,10,14,14,13,13,10,11,13,13,14,22,12,21,17,13
13,14,20,13,16,16,13,14,20,12,14,14,16,15,16,22,14,17,14,18,11,10,14,20,14,13,10,16,15,27,23,16,13,16,19,15,12,14
14,14,17,18,17,7,15,10,15,11,17,13,9,12,10,12,15,15,12,18,16,27,8,9,17,16,9,23,21,11,19,19,29,15,13,19,20,18
15,12,11,15,12,18,14,15,16,13,16,15,17,15,18,9,10,17,17,14,18,20,16,19,12,10,12,17,14,17,7,13,19,7,13,24,16,14
16,12,19,24,14,17,13,11,18,13,15,10,17,19,13,19,11,11,18,11,18,20,9,17,16,17,12,10,27,14,15,12,16,15,18,11,15,11
17,16,12,18,10,15,14,18,10,18,8,17,17,14,8,13,16,12,6,9,15,18,24,15,16,11,12,14,17,20,13,9,20,14,9,16,10,11
18,16,18,11,18,11,12,16,18,16,18,13,14,13,11,16,14,13,13,19,10,17,13,15,14,9,18,11,15,11,9,24,16,20,16,15,20,10
19,11,18,16,21,14,22,19,16,7,20,14,10,19,20,14,23,19,10,22,13,9,17,11,13,13,12,12,11,15,14,11,16,18,21,12,21,17
20,16,14,16,13,25,19,14,14,14,16,15,12,10,22,20,15,16,14,17,14,13,15,14,19,25,17,15,15,22,20,21,14,11,18,19,19,14
21,15,18,15,15,12,23,21,16,13,18,22,8,18,17,20,17,15,17,17,20,21,13,18,16,16,14,14,15,10,13,22,17,13,9,18,9,19
22,18,10,17,12,19,10,16,15,10,14,22,16,13,22,14,9,15,13,10,13,10,15,13,13,13,14,12,11,27,12,11,14,12,17,17,10,13
23,13,19,17,21,8,15,11,17,12,12,18,15,15,12,12,21,15,18,10,11,19,17,18,8,15,14,11,9,16,20,22,20,16,17,13,19,17
24,11,14,15,13,11,14,13,12,12,7,14,20,13,16,13,16,19,9,12,15,14,13,13,20,9,14,9,15,13,7,19,13,11,17,17,18,14
25,15,13,11,15,15,15,10,11,16,19,16,14,21,20,13,11,17,8,19,16,16,13,16,5,11,13,10,11,17,15,12,11,10,11,19,15,11
26,9,19,14,15,17,16,18,20,11,19,10,15,16,21,8,13,14,11,13,14,15,19,14,17,12,14,13,12,12,15,12,10,16,18,16,18,13
27,15,14,7,16,18,14,10,14,8,19,13,16,9,19,8,20,11,21,19,17,22,13,13,20,20,19,10,13,11,17,20,22,15,15,15,15,11
28,17,14,20,19,16,15,17,15,12,11,16,15,10,15,18,19,16,23,21,16,16,21,13,24,15,15,14,20,7,14,15,14,21,10,8,14,19
29,12,14,13,11,17,25,21,10,18,14,13,14,12,13,20,14,15,14,15,13,14,11,12,15,17,10,14,15,13,9,14,15,18,14,12,19,9
30,19,14,13,12,16,11,8,15,16,14,16,10,20,14,13,7,15,11,18,16,12,16,13,17,19,16,17,18,21,22,13,17,18,18,12,18,14
31,12,20,11,14,17,15,5,12,23,19,21,10,16,13,19,20,10,12,12,16,14,19,10,15,13,19,15,12,21,16,13,8,18,13,14,16,13
32,15,17,15,16,19,17,16,17,13,14,15,16,18,21,23,17,10,11,16,26,15,18,16,18,9,12,16,15,15,15,19,16,12,14,12,16,17
33,13,12,21,16,13,13,15,19,14,11,21,22,10,15,12,17,17,14,15,8,21,16,11,16,14,15,12,17,12,18,15,14,12,13,10,17,14
34,11,20,14,15,16,18,10,17,19,21,19,13,16,22,13,11,12,19,18,17,12,14,15,18,18,11,14,9,18,10,9,14,17,13,7,12,15
35,17,10,8,18,11,8,13,23,18,16,18,20,15,14,23,12,12,14,12,20,23,14,21,13,18,19,14,17,19,23,15,10,22,19,12,11,14
36,18,11,18,20,12,12,16,15,14,15,20,12,14,21,13,21,10,17,10,13,8,17,7,18,16,15,16,16,7,6,12,11,13,19,21,14,7
